10	86	12	15	4	45	81	83	61	60	
10	12	86	15	4	45	81	83	61	60	
10	12	86	4	15	45	81	83	61	60	
4	10	12	15	86	45	81	83	61	60	
4	10	12	15	86	45	81	83	61	60	
4	10	12	15	86	45	81	83	61	60	
4	10	12	15	86	45	81	83	60	61	
4	10	12	15	86	45	60	61	81	83	
4	10	12	15	45	60	61	81	83	86	
1	30	14	44	23	23	72	13	37	51	
1	14	30	44	23	23	72	13	37	51	
1	14	30	23	44	23	72	13	37	51	
1	14	23	30	44	23	72	13	37	51	
1	14	23	30	44	23	72	13	37	51	
1	14	23	30	44	13	23	72	37	51	
1	14	23	30	44	13	23	72	37	51	
1	14	23	30	44	13	23	37	51	72	
1	13	14	23	23	30	37	44	51	72	
