37	47	11	21	23	14	39	62	17	70	
11	37	47	21	23	14	39	62	17	70	
11	37	47	21	23	14	39	62	17	70	
11	21	23	37	47	14	39	62	17	70	
11	21	23	37	47	14	39	62	17	70	
11	21	23	37	47	14	39	62	17	70	
11	21	23	37	47	14	39	62	17	70	
11	21	23	37	47	14	17	39	62	70	
11	14	17	21	23	37	39	47	62	70	
66	75	33	59	45	24	2	37	15	34	
33	66	75	59	45	24	2	37	15	34	
33	66	75	45	59	24	2	37	15	34	
33	45	59	66	75	24	2	37	15	34	
33	45	59	66	75	2	24	37	15	34	
33	45	59	66	75	2	24	37	15	34	
33	45	59	66	75	2	24	37	15	34	
33	45	59	66	75	2	15	24	34	37	
2	15	24	33	34	37	45	59	66	75	
