70	92	47	37	75	79	32	67	5	50	
47	70	92	37	75	79	32	67	5	50	
47	70	92	37	75	79	32	67	5	50	
37	47	70	75	92	79	32	67	5	50	
37	47	70	75	92	32	79	67	5	50	
37	47	70	75	92	32	67	79	5	50	
37	47	70	75	92	32	67	79	5	50	
37	47	70	75	92	5	32	50	67	79	
5	32	37	47	50	67	70	75	79	92	
77	90	97	4	98	43	67	82	65	30	
77	90	97	4	98	43	67	82	65	30	
77	90	97	4	98	43	67	82	65	30	
4	77	90	97	98	43	67	82	65	30	
4	77	90	97	98	43	67	82	65	30	
4	77	90	97	98	43	67	82	65	30	
4	77	90	97	98	43	67	82	30	65	
4	77	90	97	98	30	43	65	67	82	
4	30	43	65	67	77	82	90	97	98	
